	Note ESG
Agnico Eagle Mines Ltd.	21.8
Alamos Gold, Inc.	35.1
Alkane Resources Ltd.	40.4
Allied Gold Corp. (Canada)	47.6
Anglo American Platinum Ltd.	16.8
AngloGold Ashanti (Pty) Ltd.	23.7
Anglogold Ashanti Plc	34.1
Aris Mining Corp.	37.6
Aya Gold & Silver, Inc.	39.3
B2Gold Corp.	24.3
Barrick Gold Corp.	29.6
Bellevue Gold Ltd.	31.6
Caledonia Mining Corp. Plc	42.1
Calibre Mining Corp.	29.0
Capricorn Metals Ltd.	53.2
Centamin Plc	27.0
Centerra Gold, Inc.	30.4
Chifeng Jilong Gold Mining Co., Ltd.	47.8
Coeur Mining, Inc.	32.0
Compañía de Minas Buenaventura SAA	41.4
Dakota Gold Corp.	49.2
De Grey Mining Ltd.	37.3
DRDGOLD Ltd.	32.4
Dundee Precious Metals, Inc.	29.0
Eldorado Gold Corp.	20.0
Endeavour Mining Plc	17.7
Endeavour Silver Corp.	24.2
Equinox Gold Corp.	29.8
Evolution Mining Ltd.	27.4
Filo Corp.	36.6
First Majestic Silver Corp.	30.7
Fortuna Mining Corp.	25.3
Franco-Nevada Corp.	10.0
Fresnillo Plc	29.8
Gogold Resources, Inc.	42.5
Gold Fields Ltd.	26.2
Gold Road Resources Ltd.	20.6
Greatland Gold Plc	45.2
Harmony Gold Mining Co. Ltd.	32.9
Hecla Mining Co.	32.1
Heraeus Holding GmbH	29.8
Hochschild Mining Plc	28.4
i-80 Gold Corp.	47.1
IAMGOLD Corp.	29.4
Impala Platinum Holdings Ltd.	20.3
Industrias Peñoles SAB de CV	39.8
Ipek Dogal Enerji Kaynaklari Arastirma ve Üretim AS	49.8
K92 Mining, Inc.	38.4
Kinross Gold Corp.	25.9
Koza Altin Isletmeleri AS	47.6
Lucara Diamond Corp.	31.3
Lundin Gold, Inc.	29.2
MAG Silver Corp.	28.6
Mineros SA	25.9
New Gold, Inc.	28.4
New Pacific Metals Corp.	51.7
Newmont Corp.	21.4
Northam Platinum Holdings Ltd.	32.9
Northern Star Resources Ltd.	31.0
NovaGold Resources, Inc.	27.1
OceanaGold Corp.	31.1
Orla Mining Ltd.	42.7
Osisko Gold Royalties Ltd.	10.0
Osisko Mining, Inc.	27.3
Pan African Resources Plc	43.9
Pan American Silver Corp.	24.2
Perpetua Resources Corp.	44.2
Perseus Mining Ltd.	29.4
Petra Diamonds Ltd.	25.5
PT Amman Mineral Internasional Tbk	37.4
PT Bumi Resources Minerals Tbk	51.1
Ramelius Resources Ltd.	31.6
Regis Resources Ltd.	32.0
Resolute Mining Ltd.	30.3
Royal Gold, Inc.	10.9
Sandstorm Gold Ltd.	12.0
Seabridge Gold, Inc.	30.0
Shandong Gold Mining Co., Ltd.	52.7
Shandong Humon Smelting Co. Ltd.	56.9
Shanjin International Gold Co., Ltd.	58.8
Sibanye Stillwater Ltd.	23.9
Silver Lake Resources Ltd.	44.8
Silvercorp Metals, Inc.	22.2
SilverCrest Metals, Inc.	47.0
Sino-platinum Metals Co., Ltd.	49.0
Skeena Resources Ltd.	24.3
SSR Mining, Inc.	32.5
St. Barbara Ltd.	32.3
Torex Gold Resources, Inc.	26.9
Triple Flag Precious Metals Corp.	6.7
Vault Minerals Ltd.	42.6
Victoria Gold Corp.	36.3
Wesdome Gold Mines Ltd.	32.0
West African Resources Ltd.	36.3
Western Region Gold Co., Ltd.	56.2
Westgold Resources Ltd.	35.9
Wheaton Precious Metals Corp.	7.1
Wildcat Resources Ltd.	49.5
Zhaojin Mining Industry Co., Ltd.	47.6
Zhongjin Gold Corp. Ltd.	62.4
Zijin Mining Group Co., Ltd.	38.6
Zimplats Holdings Ltd.	34.0
